case_id,family,ledger_family,phase_status,expected_verdict,actual_verdict,verdict_match,reason_summary,pack_path,gate_report
checkpoint_dynamics,PPO tuning / checkpoint dynamics,PPO tuning / checkpoint dynamics,negative,FAIL: claim remains frozen,FAIL: claim remains frozen,True,"candidate_pack::evaluation=INCONCLUSIVE, candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE",outputs/reports/historical_candidate_packs/checkpoint_dynamics/checkpoint_dynamics.json,outputs/reports/historical_candidate_packs/gate_reports/checkpoint_dynamics.md
entropy_schedule,Entropy schedules,Entropy schedules,negative,FAIL: claim remains frozen,FAIL: claim remains frozen,True,"candidate_pack::evaluation=INCONCLUSIVE, candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE",outputs/reports/historical_candidate_packs/entropy_schedule/entropy_schedule.json,outputs/reports/historical_candidate_packs/gate_reports/entropy_schedule.md
self_imitation,Self-imitation,Self-imitation,negative,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,"candidate_pack::evaluation=INCONCLUSIVE, candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE",outputs/reports/historical_candidate_packs/self_imitation/self_imitation.json,outputs/reports/historical_candidate_packs/gate_reports/self_imitation.md
policy_distillation,Offline teacher distillation,Offline teacher distillation,negative,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,"candidate_pack::evaluation=INCONCLUSIVE, candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE",outputs/reports/historical_candidate_packs/policy_distillation/policy_distillation.json,outputs/reports/historical_candidate_packs/gate_reports/policy_distillation.md
learner_state_supervision_initial,Learner-state supervision,Learner-state supervision,bounded positive,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,"candidate_pack::evaluation=INCONCLUSIVE, candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE",outputs/reports/historical_candidate_packs/learner_state_supervision_initial/learner_state_supervision_initial.json,outputs/reports/historical_candidate_packs/gate_reports/learner_state_supervision_initial.md
teacher_extraction_multiseed,Learner-state supervision,Learner-state supervision,bounded positive,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,"candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE, candidate_pack::actual_sets.retry_block=INCONCLUSIVE",outputs/reports/historical_candidate_packs/teacher_extraction_multiseed/teacher_extraction_multiseed.json,outputs/reports/historical_candidate_packs/gate_reports/teacher_extraction_multiseed.md
lss_robustness_multiseed,Learner-state supervision,Learner-state supervision,bounded positive,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,"candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE, candidate_pack::actual_sets.retry_block=INCONCLUSIVE",outputs/reports/historical_candidate_packs/lss_robustness_multiseed/lss_robustness_multiseed.json,outputs/reports/historical_candidate_packs/gate_reports/lss_robustness_multiseed.md
claim_hardening,Claim hardening,Claim hardening,bounded positive,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,"candidate_pack::controls_present=INCONCLUSIVE, candidate_pack::metrics.combined=INCONCLUSIVE, candidate_pack::metrics.retry_block=INCONCLUSIVE, candidate_pack::actual_sets.combined=INCONCLUSIVE, candidate_pack::actual_sets.retry_block=INCONCLUSIVE",outputs/reports/historical_candidate_packs/claim_hardening/claim_hardening.json,outputs/reports/historical_candidate_packs/gate_reports/claim_hardening.md
claim_broadening,Claim broadening,Claim broadening,bounded positive,FAIL: claim remains frozen,FAIL: claim remains frozen,True,"candidate_pack::actual_sets.combined=INCONCLUSIVE, candidate_pack::actual_sets.retry_block=INCONCLUSIVE, claim_scope=FAIL",outputs/reports/historical_candidate_packs/claim_broadening/claim_broadening.json,outputs/reports/historical_candidate_packs/gate_reports/claim_broadening.md
multi_expert_hardening,Multi-expert hardening,Multi-expert hardening,bounded positive,INCONCLUSIVE: missing prerequisites,INCONCLUSIVE: missing prerequisites,True,candidate_pack::metrics.retry_block=INCONCLUSIVE,outputs/reports/historical_candidate_packs/multi_expert_hardening/multi_expert_hardening.json,outputs/reports/historical_candidate_packs/gate_reports/multi_expert_hardening.md
